                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1255,                 3.1437,                 1.9584,                0.06732,                0.51468,                0.05153,                0.02017,                 1.7164,                 2.9799,                 1.7084,                0.08119,                0.00019,                0.00019
                      2,                 1.7736,                  2.728,                 1.7857,                0.08543,                0.65319,                 0.1807,                0.05983,                 1.6709,                 2.5758,                 1.6586,               0.061389,             0.00038922,             0.00038922
                      3,                 1.4955,                 2.2754,                  1.613,                0.10435,                0.79778,                0.52774,                0.19465,                 1.5163,                 2.2029,                 1.5463,               0.041588,             0.00058764,             0.00058764
                      4,                 1.3682,                 1.8456,                 1.4888,                0.57619,                0.82438,                0.75774,                0.31775,                 1.4379,                 1.8979,                 1.4924,               0.021785,             0.00078526,             0.00078526
                      5,                 1.3239,                 1.4783,                 1.4355,                0.84226,                0.76731,                0.84321,                0.40787,                 1.4896,                 1.4721,                 1.5217,              0.0019821,             0.00098209,             0.00098209
                      6,                 1.2842,                 1.2816,                 1.3892,                0.89106,                0.81884,                0.90288,                0.47045,                  1.457,                 1.3499,                 1.4637,             0.00099001,             0.00099001,             0.00099001
                      7,                 1.2664,                 1.1821,                 1.3521,                0.91589,                0.83767,                0.92848,                0.46157,                 1.5209,                 1.2744,                 1.4272,             0.00098801,             0.00098801,             0.00098801
                      8,                 1.2698,                 1.1237,                 1.3356,                0.92493,                0.87756,                0.94831,                0.47835,                 1.5422,                 1.1979,                  1.397,             0.00098601,             0.00098601,             0.00098601
                      9,                 1.2456,                 1.0751,                 1.2967,                0.93732,                0.89584,                0.95593,                0.52792,                 1.4528,                 1.1212,                 1.3279,             0.00098402,             0.00098402,             0.00098402
                     10,                 1.2472,                 1.0374,                 1.2849,                0.93855,                0.90526,                0.96066,                0.52177,                 1.4367,                 1.1185,                 1.3248,             0.00098202,             0.00098202,             0.00098202
                     11,                 1.2258,                 1.0085,                 1.2624,                0.94146,                0.91775,                0.96499,                0.55333,                 1.3884,                 1.0406,                 1.2814,             0.00098002,             0.00098002,             0.00098002
                     12,                 1.2213,                0.98076,                 1.2571,                0.94272,                0.92088,                0.96654,                0.57674,                 1.3295,                 1.0294,                 1.2674,             0.00097802,             0.00097802,             0.00097802
                     13,                 1.2122,                0.95968,                 1.2458,                0.95311,                0.92349,                0.97026,                0.55662,                 1.3849,                 1.0013,                 1.2764,             0.00097602,             0.00097602,             0.00097602
                     14,                 1.1902,                0.92307,                 1.2287,                0.94153,                0.92783,                0.97122,                0.57471,                 1.3231,                 0.9616,                 1.2308,             0.00097403,             0.00097403,             0.00097403
                     15,                 1.1881,                0.90155,                 1.2209,                0.94239,                0.93343,                0.97283,                0.58129,                 1.2905,                 0.9219,                 1.2063,             0.00097203,             0.00097203,             0.00097203
                     16,                 1.1831,                0.88805,                 1.2176,                0.94289,                0.92576,                0.97319,                0.60566,                 1.2253,                0.89541,                 1.1779,             0.00097003,             0.00097003,             0.00097003
                     17,                 1.1692,                0.86072,                 1.1992,                0.95084,                0.92147,                0.97304,                0.60476,                 1.2295,                 0.8769,                 1.1747,             0.00096803,             0.00096803,             0.00096803
                     18,                 1.1545,                0.83734,                 1.1898,                0.95636,                0.91911,                0.97351,                0.61772,                 1.1814,                0.84882,                 1.1554,             0.00096603,             0.00096603,             0.00096603
                     19,                 1.1299,                 0.8166,                 1.1737,                0.95648,                0.92539,                0.97442,                0.63865,                 1.1363,                0.82381,                 1.1358,             0.00096404,             0.00096404,             0.00096404
                     20,                 1.1365,                0.80109,                 1.1758,                 0.9635,                0.92134,                0.97501,                0.63322,                 1.1683,                0.80894,                 1.1392,             0.00096204,             0.00096204,             0.00096204
                     21,                 1.1288,                0.79895,                 1.1684,                0.96142,                  0.925,                 0.9751,                0.65101,                  1.109,                0.79243,                 1.1248,             0.00096004,             0.00096004,             0.00096004
                     22,                 1.1269,                0.78227,                 1.1679,                0.96112,                0.93125,                0.97695,                0.65177,                 1.1088,                0.77686,                 1.1179,             0.00095804,             0.00095804,             0.00095804
                     23,                 1.1239,                0.77922,                 1.1691,                0.96439,                0.93032,                0.97732,                0.66968,                 1.0585,                0.75814,                  1.109,             0.00095604,             0.00095604,             0.00095604
                     24,                 1.0971,                0.75525,                  1.154,                0.96048,                0.92908,                0.97693,                 0.6646,                  1.068,                  0.754,                 1.1071,             0.00095405,             0.00095405,             0.00095405
                     25,                  1.105,                0.75168,                 1.1524,                0.95747,                 0.9355,                0.97587,                0.66538,                 1.0457,                0.75471,                 1.1014,             0.00095205,             0.00095205,             0.00095205
